epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
86,7563.41,0.6176,0.38798,0.02227,0.01917,0.81647,0.78482,0.84423,0.6485,0.85026,0.49875,0.02782,0.02293,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195
87,7650.64,0.61522,0.38855,0.02187,0.01846,0.79209,0.79082,0.84766,0.65122,0.85023,0.49867,0.02768,0.02288,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
88,7740.02,0.61915,0.38384,0.02235,0.01895,0.76907,0.83096,0.84767,0.64365,0.88997,0.49898,0.02778,0.02325,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
89,7828.12,0.61698,0.37851,0.02195,0.01939,0.84055,0.80963,0.87036,0.68131,0.82975,0.47348,0.02771,0.02289,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
90,7916.99,0.61333,0.37702,0.02247,0.01915,0.81375,0.78834,0.86136,0.65833,0.89513,0.52942,0.02775,0.02335,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063
91,8005.81,0.61003,0.37338,0.02247,0.01838,0.81626,0.82412,0.88586,0.70369,0.78927,0.45116,0.02758,0.02243,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
92,8094.23,0.61792,0.38227,0.02235,0.01857,0.82635,0.84258,0.88477,0.70122,0.79152,0.45241,0.02763,0.0221,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997
93,8182.9,0.62268,0.38662,0.02232,0.01939,0.81132,0.80417,0.86825,0.67066,0.85568,0.50727,0.02777,0.02256,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
94,8272.22,0.61062,0.3841,0.02205,0.01913,0.82777,0.81464,0.87411,0.68152,0.83755,0.45431,0.02777,0.02249,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
95,8360.66,0.61197,0.3762,0.02213,0.01893,0.83258,0.80491,0.8729,0.68341,0.80335,0.47037,0.0277,0.0222,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
96,8452.02,0.60697,0.3825,0.02201,0.01858,0.8639,0.79438,0.87619,0.69286,0.79081,0.45705,0.02756,0.0222,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865
97,8540.56,0.61599,0.37941,0.02221,0.01864,0.81166,0.79669,0.86059,0.66868,0.87364,0.51578,0.02751,0.02259,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
98,8629.58,0.60782,0.37656,0.02209,0.01819,0.82073,0.77259,0.85283,0.65677,0.88095,0.52699,0.02765,0.02309,0.020397,0.006799,0.020397,0.006799,0.020397,0.006799,0.020397,0.006799
99,8717.75,0.61258,0.38361,0.02221,0.01837,0.84689,0.79434,0.87349,0.69754,0.79795,0.48326,0.02754,0.02226,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
100,8806.69,0.60872,0.37867,0.02215,0.01805,0.81794,0.82891,0.88078,0.69846,0.79393,0.46228,0.0276,0.02209,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
101,8896.7,0.60396,0.37651,0.02164,0.01762,0.82362,0.83053,0.87501,0.69874,0.77049,0.45032,0.02748,0.02183,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
102,8985.06,0.6121,0.37706,0.02266,0.01796,0.83354,0.7992,0.86659,0.68176,0.8089,0.47733,0.02774,0.02241,0.020001,0.006667,0.020001,0.006667,0.020001,0.006667,0.020001,0.006667
103,9074.38,0.59933,0.37684,0.02218,0.01807,0.85377,0.81618,0.88631,0.70714,0.77463,0.43647,0.02766,0.02159,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
104,9164.53,0.60668,0.37627,0.02202,0.01766,0.84503,0.81027,0.88349,0.70993,0.78553,0.4429,0.0277,0.02175,0.019803,0.006601,0.019803,0.006601,0.019803,0.006601,0.019803,0.006601
105,9253.74,0.59898,0.37869,0.02249,0.01739,0.8652,0.79325,0.87748,0.68947,0.83867,0.47105,0.02767,0.02196,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
106,9341.87,0.60599,0.37194,0.02232,0.01817,0.8429,0.81318,0.87631,0.68761,0.82769,0.46561,0.02774,0.0217,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
107,9431.21,0.60491,0.37211,0.02201,0.01848,0.80215,0.82295,0.87373,0.67661,0.86925,0.49586,0.02779,0.02132,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
108,9521.61,0.60084,0.36347,0.02209,0.0177,0.8572,0.78069,0.87802,0.68372,0.85205,0.48048,0.02774,0.0215,0.019407,0.006469,0.019407,0.006469,0.019407,0.006469,0.019407,0.006469
109,9611.34,0.60281,0.36953,0.02243,0.01737,0.82745,0.82317,0.88265,0.69135,0.81066,0.46091,0.02772,0.02131,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
110,9700.41,0.59092,0.36249,0.02205,0.01695,0.86679,0.80921,0.87933,0.6973,0.81083,0.45485,0.02776,0.0211,0.019209,0.006403,0.019209,0.006403,0.019209,0.006403,0.019209,0.006403
111,9789.56,0.59794,0.35812,0.02242,0.01677,0.85312,0.80855,0.88239,0.69641,0.81378,0.45452,0.02777,0.0208,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
112,9879.55,0.6083,0.37431,0.02173,0.01854,0.86839,0.78387,0.88126,0.69809,0.79577,0.45466,0.02769,0.02081,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
113,9969.19,0.59693,0.368,0.0221,0.0179,0.81822,0.83123,0.88338,0.69369,0.81618,0.46434,0.02772,0.02041,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
